,Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population,Population_Lag_1,Population_Lag_2,Population_Lag_3,Birth_Rate_Lag,Death_Rate_Lag,Population_MA_3,Population_MA_5,Birth_Death_Ratio,Urbanization_Rate,Ruralization_Rate,Working_Age_Ratio,Child_Ratio,Senior_Ratio,Population_Change,BirthRate_Change,DeathRate_Change,GDP_Change,LifeExp_Change,Migration_Change
Year,1.0,-0.9522242861262887,0.9548513133421695,0.9956458156996317,-0.6113095877233469,-0.9934571765797249,-0.9637389837396454,-0.9969987835981644,0.3385792124854479,-0.9973285086878583,0.9076746732215462,0.9955322336515534,0.9610087557335256,-0.4117736975208173,0.9977079662283639,0.9975029525394294,-0.9096131817281919,0.9970617952993661,0.9973542844565574,0.9967818450677957,0.9960225705647187,-0.9927650726409285,-0.9668793607648352,0.9973104850813874,0.9966336692342463,0.4042678899974265,0.9970617952993666,-0.9970617953434826,0.9548513133421699,-0.952224286126289,0.9076746732215459,-0.8907341604963653,-0.5211164348631204,0.09252434795345672,0.16423516949618502,-0.07584067212378444,-0.0028519719405421993
Age_0_14,-0.9522242861262887,1.0,-0.9986376048445353,-0.9368138977651973,0.7476473621232042,0.9726697222745241,0.845680647983061,0.9407769936107375,-0.2920183748543371,0.9351699620476531,-0.9718292902737969,-0.9354394011887058,-0.9837628264033581,0.455868842423782,-0.961689732411981,-0.9612879925445809,0.9795601630691891,-0.9591802550177726,-0.9645794348700252,-0.9672713988742175,-0.9700143536346136,0.9758710059732956,0.8538246972812051,-0.9645872421287085,-0.9675467457540909,-0.13797080778867274,-0.959180255017773,0.9591802547804775,-0.9986376048445352,1.0,-0.9718292902737967,0.9654774873099884,0.43008336063101227,-0.1348967836768452,-0.12675270243596928,0.10267150814750689,0.0008324175854651266
Age_15_64,0.9548513133421695,-0.9986376048445353,1.0,0.943793159823143,-0.7453089956155718,-0.9770191782372363,-0.8551501164603345,-0.9468046666245358,0.2996565992256846,-0.9398018542826269,0.9582067753747979,0.9408036977464029,0.9884920569378021,-0.4527876743813549,0.9663562193009287,0.9661909951626524,-0.9779180287348318,0.9601445871862812,0.9689966531195309,0.9715499853404193,0.9741597607641038,-0.9797251193659254,-0.8635533481889779,0.9690479040884568,0.9718757805376267,0.16404672799996867,0.9601445871862809,-0.9601445869781683,1.0000000000000002,-0.9986376048445353,0.9582067753747979,-0.9602657207988176,-0.452186725066548,0.13352783707773017,0.13029983278414006,-0.10468945190275464,-0.0024110466488942712
Rural_Population,0.9956458156996317,-0.9368138977651973,0.943793159823143,1.0,-0.5787411783724671,-0.9912016834479223,-0.9733868748442147,-0.997926068761899,0.34882909834275067,-0.996375928537711,0.8731357779186829,0.9954674839106303,0.9601779110119952,-0.4125852549058449,0.9967035910838904,0.9968444494796195,-0.8964644005927552,0.9876062960909138,0.9957814733680499,0.9948076016302382,0.9936440885374048,-0.9893972537663193,-0.9769955902638856,0.9957997382479015,0.9947219798764849,0.45504313509744965,0.9876062960909143,-0.9876062961757873,0.9437931598231427,-0.9368138977651974,0.8731357779186827,-0.8715346447574975,-0.5577561481878583,0.08953936062614232,0.16503545941613756,-0.08125958189234417,-0.006175896239538746
Labor_Force_Participation,-0.6113095877233469,0.7476473621232042,-0.7453089956155718,-0.5787411783724671,1.0,0.6573704708784767,0.455181358465723,0.5964909847889754,-0.07281233921855403,0.5892028330545876,-0.7325465486710573,-0.5846081181434694,-0.6770019167779022,0.2523013898200849,-0.6258486195656794,-0.6265534785520668,0.7587001018767815,-0.6440369227443488,-0.6305317865687536,-0.6354731841361102,-0.6404199744320217,0.662363406084345,0.47050657436898524,-0.6306741421907369,-0.6358116037526569,0.25388635445959656,-0.6440369227443489,0.6440369230184787,-0.7453089956155717,0.7476473621232036,-0.7325465486710577,0.7225959381637497,0.28340350809641074,-0.20493833342488707,-0.038402318599312174,0.12313174327561564,-0.016397206503867848
Birth_Rate,-0.9934571765797249,0.9726697222745241,-0.9770191782372363,-0.9912016834479223,0.6573704708784767,1.0,0.9390094102967034,0.990762758867904,-0.33235486939956377,0.9867709234720632,-0.919638755473383,-0.9862470479364541,-0.9833252311245672,0.4369543467582909,-0.9979696739298438,-0.9979481035651978,0.9440311560053032,-0.9897703888746758,-0.9984130433624173,-0.9987487942362446,-0.9989504904742431,0.9996678486784658,0.9443772275274206,-0.9984230042512058,-0.9987541287714131,-0.34041808871143947,-0.9897703888746758,0.9897703888816904,-0.9770191782372362,0.9726697222745243,-0.9196387554733828,0.921031456244003,0.5314636940607587,-0.10916404292335453,-0.1478691372344973,0.09007842531557503,0.0027411722332383007
Death_Rate,-0.9637389837396454,0.845680647983061,-0.8551501164603345,-0.9733868748442147,0.455181358465723,0.9390094102967034,1.0,0.9738586733764518,-0.3628379537448068,0.976210385415891,-0.7738832465474473,-0.9794182515311312,-0.8775932870012352,0.33754052382808725,-0.9557793655551587,-0.9560575717409661,0.7783257607134139,-0.9538303230725882,-0.952744116783073,-0.9497542296992221,-0.9465103021491793,0.9351686105503751,0.9941793304992713,-0.9527755461805114,-0.9495214709438884,-0.6303082282104732,-0.9538303230725882,0.9538303233620185,-0.8551501164603348,0.845680647983061,-0.7738832465474469,0.7541889637883814,0.5711464907711717,0.00255091320629546,-0.2160517516401421,0.003821385341541294,0.007384019798490207
Fertility_Rate,-0.9969987835981644,0.9407769936107375,-0.9468046666245358,-0.997926068761899,0.5964909847889754,0.990762758867904,0.9738586733764518,1.0,-0.3463543057362929,0.9984926812805143,-0.8812608240764352,-0.9972794413520343,-0.955462132527269,0.38970236593280877,-0.9963431752691361,-0.9965001979204281,0.8924609140874058,-0.9932393557261008,-0.9955459299011118,-0.9947200084850449,-0.9937245414469565,0.9892974748446004,0.9772116215963929,-0.9955777087081414,-0.9946579424188801,-0.4459237807924731,-0.9932393557261009,0.9932393557855062,-0.9468046666245361,0.940776993610738,-0.8812608240764351,0.8687116906482143,0.549333045551184,-0.08983168700815347,-0.17688034690801877,0.07744568975799665,0.004768081732865919
GDP_Growth,0.3385792124854479,-0.2920183748543371,0.2996565992256846,0.34882909834275067,-0.07281233921855403,-0.33235486939956377,-0.3628379537448068,-0.3463543057362929,1.0,-0.34630891668918967,0.2474960218509202,0.3495202773528913,0.31873359984589866,-0.17431947725301078,0.3395614438221698,0.33975306601972016,-0.26721222419294405,0.33165921804603016,0.33834684504768225,0.3373783801796514,0.33621700611771355,-0.32978036746154804,-0.35252514400780394,0.3384483933977208,0.33746459140907864,0.26686350646838763,0.33165921804603027,-0.33165921882059535,0.2996565992256848,-0.29201837485433724,0.24749602185091996,-0.25922803035149455,-0.17567469543511133,-0.05298459312794597,-0.06202616613649566,0.08570751466783805,-0.13859861240992177
Infant_Mortality,-0.9973285086878583,0.9351699620476531,-0.9398018542826269,-0.996375928537711,0.5892028330545876,0.9867709234720632,0.976210385415891,0.9984926812805143,-0.34630891668918967,1.0,-0.8821504811814825,-0.997562484818506,-0.9478376999410512,0.39186929576104196,-0.9944469216912454,-0.9944497649118762,0.8843609922802425,-0.9943690160514895,-0.9934755095739418,-0.9923984006453548,-0.991133459676138,0.9853111110511731,0.9790884221983143,-0.9934722689006128,-0.9922813662454211,-0.4541338451204441,-0.9943690160514896,0.9943690160999052,-0.9398018542826269,0.9351699620476529,-0.8821504811814822,0.862382033847754,0.5389722118577364,-0.0869908399673135,-0.17297496862513395,0.07609511884279459,0.007633105034264487
